become_uzbekistan_khiva_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_bukkhara_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
become_kyrgyzstan_title;Become Kyrgyzstan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_kyrgyzstan_desc;We must unite the Kyrgyz into a single and modern state, with sovereignty over all our ancestral land. Under Kyrgyz leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unite_turkestan_title;Unite Turkestan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_turkestan_desc;Under our nation's leadership, the Turkmen, Kyrgyz, Tajiks and Uzbeks can at last be united into a single Turkestan. Should this dream ever come to pass, the world shall tremble before our might!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
form_yugoslavia_title;Form Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_yugoslavia_desc;The Slavic peoples of the Balkans must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_serbia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_serbia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_croatia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_croatia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_slovenia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_slovenia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bosnia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bosnia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_albania_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_albania_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_montenegro_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_montenegro_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_czechoslovakia_title;Form Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_czechoslovakia_desc;Bohemia and Slovakia cannot exist alone amidst the warring powers of Europe. We must unite under a single banner!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_bohemia_title;The End of Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_bohemia_desc;The union of Bohemia and Slovakia has been sundered. It is time to bring Czechoslovakia to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_slovakia_title;The End of Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_slovakia_desc;The union of Bohemia and Slovakia has been sundered. It is time to bring Czechoslovakia to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_moldavia_wallachia_title;Unite Wallachia & Moldavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_moldavia_wallachia_desc;The Principalities of Moldavia and Wallachia must unite under a single flag, and together achieve our destiny as a united Romania!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_romania_title;Unite with Romania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_romania_desc;Now that Romania has been formed, the time has come for us to join the motherland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_romania_title;Create Romania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_romania_desc;A united and free Romania will make a formidable and valuable ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
provincia_cisplatina_title;Provincia Cisplatina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
provincia_cisplatina_desc;The Provincia Cisplatina was brazilian once, and shall be brazilian again!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rio_da_prata_title;Natural Borders;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rio_da_prata_desc;As the Parana river is the natural southern border of Brazil, it's natural for such a great country to conquer Entre-Rios.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
banda_oriental_title;Banda Oriental;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
banda_oriental_desc;The Banda Oriental del Uruguay was argentinean once, and shall be argentinean again!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
our_brothers_the_gauchos_title;Our Brothers, the Gauchos;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
our_brothers_the_gauchos_desc;It's time to free our brothers, the Gauchos, from the brazilian rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
gran_colombia_by_sword_title;Claim Gran Colombia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gran_colombia_by_sword_desc;If Gran Colombia is to exist once again, we must lay claim to all its territory-- and reunite it by sword, if need be!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unite_gran_colombia_title;Reunite Gran Colombia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_gran_colombia_desc;Gran Colombia shall be reborn from the ashes. Long live the united republic!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_austria_title;Become Austria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_austria_desc;The time has come to end the dual monarchy and return to our Austrian heritage.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_hungarian_revolution_title;End of the Hungarian Revolution;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_hungarian_revolution_desc;There is no hope for us to continue. Our revolutionaries stand defeated and our country occupied-- we must submit!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_galicia_title;Release Galicia-Lodomeria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_galicia_desc;With our holdings in Galicia-Lodomeria cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Polish raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
release_bukovina_title;Release Bukovina;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_bukovina_desc;With our holdings in Bukovina cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Romanians raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
bosnian_annexation_title;Annex Bosnia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
bosnian_annexation_desc;The government feels it is vital to bring Bosnia more fully under our administration, despite the international furore it might cause.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_title;Abandon Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_desc;We can no longer afford to stand on the sidelines in the civil war. For better or worse, we must recognize that we have already cast the die in the conflict and take a stand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_title;Abandon the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_desc;The goals of the Kuomintang are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_communist_faction_title;Abandon the Communists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_communist_faction_desc;The goals of the Communists are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_beiyang_faction_title;Abandon the Beiyang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_beiyang_faction_desc;The goals of the Beiyang Army are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_leader_of_kuomintang_title;Leader of the Kuomintang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_kuomintang_desc;It falls to us to take the mantle of Kuomintang leadership. Victory for Nationalist China!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_beiyang_title;Leader of the Beiyang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_beiyang_desc;With control over Beijing, we may assume leadership over the Beiyang government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_leader_of_communists_title;Leader of the Chinese Communists;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_communists_desc;With control over Beijing, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
join_the_KMT_title;Join the Kuomintang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_the_KMT_desc;Now that we control Beijing, we are in a position to aid the cause of Nationalist China. We must join our forces with theirs, for the good of all!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reunification_of_china_KMT_title;Reunification of Nationalist China;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_KMT_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_communist_title;Reunification of China;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_communist_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_title;Chinese Reunification;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
beiyang_faction;Beiyang Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kuomintang_faction;Kuomintang Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
neutral_faction;Part of no Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
communist_faction;Communist Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_title;The Unequal Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_desc;The Qing Empire is at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both land and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unequal_treaty_TPG_title;The Unequal Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_TPG_desc;The Heavenly Kingdom is at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both land and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
total_war_in_taiping_title;Total War in Taiping;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_taiping_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_peking_title;Total War in Peking;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_peking_desc;The Taiping Rebellion threatens the dynasty and, indeed, the entire Empire. We must call on all our citizens to rise up and fight against these Christian infidels!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
total_war_in_kashgaria_title;Total War in Kashgaria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_kashgaria_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_yunnan_title;Total War in Yunnan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_yunnan_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_sul_title;Total War in Rio Grande do Sul;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_sul_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_title;Total War in Rio Grande;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_yucatan_title;Total War in Yucatan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_yucatan_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_hindustan_title;Form Hindustan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_hindustan_desc;We must unite the people of Hindustan under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_marathas_title;Form Marathas;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas_desc;The Maratha Empire was once the greatest force upon the Indian subcontinent. The time has come for it to rise once more!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_dravidistan_title;Form Dravidistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_dravidistan_desc;We must unite the Dravidian people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_rajputana_title;Form Rajputana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_desc;We must unite the Rajput people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_title;Form the Raj;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_desc;The Rajput states must be collected into a single state, one which will far better serve our needs as a stronger ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_title;Form Baluchistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_desc;The Baluchi people must be liberated and united under a single flag-- ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_title;Revive the Durrani Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_desc;With Pashtun lands once again back in our hands, the empire of the Pashtuns can once again rise and reclaim that which was lost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_title;Claim Greater Bengal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_desc;The Bengal Empire once ruled over much of eastern India, and the time has come to once again restake our claim. We must strike a blow against the forces of imperialism!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_title;Embrace the Pashtuns;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Pashtun lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_title;Embrace the Sindi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Sindi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_title;Embrace the Avadhi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Avadhi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
rangit_singh_title;Rule of the Maharajah;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rangit_singh_desc;The Maharajah Ranjit Singh has united the Panjabi misls under a single flag. He has formed a secular and tolerant state, one that has thrown off the Afghan yoke and resisted the encroaching imperialists. The future of the Sikh Empire is bright!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_title;Unite with Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_desc;The time has come to rejoin with Greater Nepal and reform the great eastern kingdom.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_title;Claim Authority in the Holy Land;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_desc;Up until now, the Russians have maintained sovereign authority over Christians in the Holy Land-- authority that rightfully belongs to the Roman Catholic Church. It is time for that to change.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_desc;With the Russians having failed to assert their authority over the Turks, it is time for the powers of Europe to convene in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_desc;Now that we have successfully asserted our authority over the Turks, it is time to convene the powers of Europe in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
